,"link","webpage_url","title","y","query","view_count","like_count","dislike_count","average_rating","subscriber_count","description","categories","tags","upload_date","tempo_desde_pub","channel_url","thumbnail","width","height","resolution","fps","p"
577,"watch?v=31ozT2hUqOw","https://www.youtube.com/watch?v=31ozT2hUqOw","Learn Data Science Online with DataCamp!",0,"data+science",18,175,63,3.9411764,104000,"Start learning today: https://www.datacamp.com.","['Education']","['DataCamp', 'Data Science', 'Data', 'r programming', 'r (programming language)', 'learn r', 'r tutorial', 'datacamp python', 'datacamp machine learning', 'r tutorials for beginners', 'python', 'python (programming language)']","2019-04-29",568,"http://www.youtube.com/channel/UC79Gv3mYp6zKiSwYemEik9A","https://i.ytimg.com/vi_webp/31ozT2hUqOw/maxresdefault.webp",1280,720,,24,0.536
578,"watch?v=mxc4cquvRUk","https://www.youtube.com/watch?v=mxc4cquvRUk","Complete Data Science Career Guide with Former Facebook Data Scientist Joma",0,"data+science",104,3429,56,4.9357247,1560000,"What's it like to be a ","['Education']","['joma tech', 'data scientist', 'data science', 'data science career guide', 'data scientist career guide', 'how to become a data scientist', 'how to get a job as a data scientist', 'how to get a job in data science']","2019-04-26",571,"http://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A","https://i.ytimg.com/vi_webp/mxc4cquvRUk/maxresdefault.webp",1920,1080,,24,0.463
736,"watch?v=9xm_dq0mKac","https://www.youtube.com/watch?v=9xm_dq0mKac","How to Start your Data and Machine Learning Journey, a Mindset Guide (Arabic) بالعربي",0,"machine+learning",1,78,6,4.7142859,281,"DataScience #","['Education']",,"2020-09-18",60,"http://www.youtube.com/channel/UC2kuDY68omq0ahpv_kIOmmw","https://i.ytimg.com/vi/9xm_dq0mKac/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDwiy8QcQ2jzWuC5KmUvxlcG45aNw",1920,1080,,30,0.462
738,"watch?v=Wf2naBHRo8Q","https://www.youtube.com/watch?v=Wf2naBHRo8Q","Markus Loning - Introduction to Machine Learning with Time Series | PyData Fest Amsterdam 2020",0,"machine+learning",13,456,5,4.9566159,105000,"PyData is excited to announce PyData Global, November 11th - 15th! Tickets are now available: ...","['Science & Technology']","['Python', 'Tutorial', 'Education', 'NumFOCUS', 'PyData', 'Opensource', 'download', 'learn', 'syntax', 'software', 'python 3']","2020-09-15",63,"http://www.youtube.com/channel/UCOjD18EJYcsBog4IozkF_7w","https://i.ytimg.com/vi_webp/Wf2naBHRo8Q/maxresdefault.webp",1920,1080,,25,0.505
739,"watch?v=cZ2HCclgQ-g","https://www.youtube.com/watch?v=cZ2HCclgQ-g","How I'd start learning machine learning again (3 years in)",0,"machine+learning",38,1937,29,4.9409971,67600,"Three years ago I started studying ","['Science & Technology']",,"2020-09-12",66,"http://www.youtube.com/channel/UCr8O8l5cCX85Oem1d18EezQ","https://i.ytimg.com/vi_webp/cZ2HCclgQ-g/maxresdefault.webp?v=5f5d724e",1920,1080,,25,0.494
748,"watch?v=mnhrQxdzHqE","https://www.youtube.com/watch?v=mnhrQxdzHqE","All the maths you need for machine learning for FREE!",0,"machine+learning",81,5643,30,4.978847,230000,"Mathematics for ","['Entertainment']","['maths for machine learning', 'machine learning math', 'machine learning', 'how to learn machine learning', 'python programmer']","2020-09-07",71,"http://www.youtube.com/channel/UC68KSmHePPePCjW4v57VPQg","https://i.ytimg.com/vi/mnhrQxdzHqE/maxresdefault.jpg",1920,1080,,24,0.488
750,"watch?v=A36Va0eUC00","https://www.youtube.com/watch?v=A36Va0eUC00","Webinar - Jump Start your Career in Artificial Intelligence/Machine Learning -v4.2",0,"machine+learning",4,12,,5,717,"Webinar Registration: https://datagrounded.com/home/mlwebinar/ In This Webinar of 2.5 hours, I will teach you how to start your ...","['Education']",,"2020-09-06",72,"http://www.youtube.com/channel/UCgUe8RftaZrDVS1FBmZnupA","https://i.ytimg.com/vi_webp/A36Va0eUC00/maxresdefault.webp",1280,720,,30,0.489
752,"watch?v=XBSvp43EQhA","https://www.youtube.com/watch?v=XBSvp43EQhA","Machine Learning Crash Course With ML.NET",0,"machine+learning",27,1011,26,4.8997107,1320000,"We will go over what ","['Science & Technology']","['machine learning', 'ml.net', 'c#', 'c# machine learning', 'c# ml.net']","2020-09-04",74,"http://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA","https://i.ytimg.com/vi/XBSvp43EQhA/maxresdefault.jpg",1920,1080,,30,0.491
760,"watch?v=Ip1a2JHdt3E","https://www.youtube.com/watch?v=Ip1a2JHdt3E","Künstliche Intelligenz vs. Machine Learning vs. Deep Learning | #KI",0,"machine+learning",11,721,7,4.9615383,27800,"Inhalt Künstliche #Intelligenz wird unsere #Gesellschaft verändern und ist schon heute aus unserem #Alltag kaum mehr ...","['Education']","['künstliche intelligenz', 'künstliche intelligenz erklärt', 'künstliche intelligenz einfach erklärt', 'künstliche intelligenz vs mensch', 'künstliche intelligenz vs deep learning', 'künstliche intelligenz vs machine learning', 'machine learning deutsch', 'machine learning deep learning unterschied', 'machine learning einfach erklärt', 'machine learning einführung', 'machine learning neuronale netze unterschied', 'künstliche neuronale netze', 'künstliche neuronale netze einfach erklärt']","2020-08-25",84,"http://www.youtube.com/channel/UCswWBF6ZkGnLG3sLRR65xRw","https://i.ytimg.com/vi/Ip1a2JHdt3E/maxresdefault.jpg",1920,1080,,30,0.496
765,"watch?v=5QhqkZxf1js","https://www.youtube.com/watch?v=5QhqkZxf1js","Building 3500$ Deep Learning Workstation | Deep Learning PC build From Scratch",0,"machine+learning",9,373,10,4.8955612,190000,"In this video, I am building ","['Education']","['deep learning pc build', 'deep learning pc requirements', 'deep learning pc specs', 'deep learning pc configuration', 'ultimate deep learning pc', 'deep learning workstation', '2020 deep learning hardware', 'deep learning pc', 'NVIDIA Titan RTX', 'deep learning pc build 2020', 'deep learning', 'PC build for Programmers', 'coding pc build']","2020-08-20",89,"http://www.youtube.com/channel/UCh9nVJoWXmFb7sLApWGcLPQ","https://i.ytimg.com/vi/5QhqkZxf1js/maxresdefault.jpg?v=5f4dcb21",3840,2160,,30,0.469
769,"watch?v=4ty8Q-kDNGo","https://www.youtube.com/watch?v=4ty8Q-kDNGo","Get Amazon's Machine Learning Courses For Free | Learn Machine Learning For Free",0,"machine+learning",12,433,10,4.9097066,49000,"Get Amazon's ","['Education']","['the engineer guy', 'the engineering guy', 'machine learning free online course', 'aws ai ml', 'best course for machine learning', 'aws ml services', 'aws machine learning services', 'lambda deep learning', 'sagemaker amazon', 'aws machine', 'amazon aws machine learning', 'aws for machine learning', 'aws training machine learning', 'free deep learning course', 'free machine learning course with certificate', 'serverless machine learning', 'amazon machine learning training', 'machine learning free']","2020-08-16",93,"http://www.youtube.com/channel/UCwYxx5VKNSNLIaDFOaIhP3Q","https://i.ytimg.com/vi_webp/4ty8Q-kDNGo/maxresdefault.webp",1920,1080,,25,0.493
770,"watch?v=mSfrAXemceo","https://www.youtube.com/watch?v=mSfrAXemceo","How to detect Thyroid disease using Machine Learning",1,"machine+learning",857,34,2,4.8857141,,"Thyroid disease is a major cause of formation in medical diagnosis, it's difficult axiom in the medical research. Thyroid gland is the ...","['Education']","['tensorflow object detection api', 'machine learning', 'artificial intelligence', 'ai', 'thyroid detection using deep learning', 'thyroid detection in ai', 'tensorflow 2.0', 'tensorflow', 'pascal voc', 'how to detect thyroid using machine learning', 'dataset annotation', 'dataset preparation', 'medical science', 'image processing', 'coco model', 'thyroid detection using image processing', 'computer science project', 'ai project', 'extrinsic technology', 'data analysis', 'deep learnin', 'machine learning with python']","2020-08-15",94,"http://www.youtube.com/channel/UCGAhCh-ELf0zFQJZt86622w","https://i.ytimg.com/vi_webp/mSfrAXemceo/maxresdefault.webp?v=5f3837cd",1920,1080,,25,0.45
787,"watch?v=mxRurvC-mds","https://www.youtube.com/watch?v=mxRurvC-mds","Machine Learning, Modeling, and Simulation: Engineering Problem-Solving in the Age of AI",1,"machine+learning",302,123,,5,2140,"Demystify ","['Education']","['MIT xPRO', 'online learning', 'online course', 'machine learning', 'modeling', 'simulation', 'professional development']","2020-07-27",113,"http://www.youtube.com/channel/UCyLbObwJPbv5ZfAWAZDdGlQ","https://i.ytimg.com/vi/mxRurvC-mds/maxresdefault.jpg",1920,1080,,24,0.459
788,"watch?v=QwVO0Xh2Hbg","https://www.youtube.com/watch?v=QwVO0Xh2Hbg","JuliaCon 2020 |  Doing Scientific Machine Learning (SciML) With Julia",1,"machine+learning",14,430,3,4.9722862,41000,"Scientific ","['Science & Technology']","['ML', 'anyone can code', 'AI', 'Julia Language', 'Language', 'learn to code', 'coding', 'Machine Learning', 'high performance computing', 'Programming', 'scientific computing', 'Julia', 'JuliaLang', 'numerical computing', 'tutorials']","2020-07-26",114,"http://www.youtube.com/channel/UC9IuUwwE2xdjQUT_LMLONoA","https://i.ytimg.com/vi/QwVO0Xh2Hbg/maxresdefault.jpg?v=5f32a307",1280,720,,30,0.505
789,"watch?v=kxi-_TT_-Nc","https://www.youtube.com/watch?v=kxi-_TT_-Nc","Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast #108",0,"machine+learning",59,1880,36,4.9248433,755000,"Sergey Levine is a professor at Berkeley and a world-class researcher in ","['Science & Technology']","['sergey levine', 'artificial intelligence', 'agi', 'ai', 'ai podcast', 'artificial intelligence podcast', 'lex fridman', 'lex podcast', 'lex mit', 'lex ai', 'lex jre', 'mit ai']","2020-07-14",126,"http://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA","https://i.ytimg.com/vi_webp/kxi-_TT_-Nc/maxresdefault.webp",1920,1080,,30,0.462
790,"watch?v=o81CjXX9Hpw","https://www.youtube.com/watch?v=o81CjXX9Hpw","Top 10 Machine Learning Trends | Machine Learning in 2020 | Machine Learning Training | Edureka",0,"machine+learning",4,92,7,4.7171717,2230000,"-----------------------Edureka Online Training and Certification------------------------- DevOps Online Training: https://bit.ly/2BPwXf0 Python Online Training: https://bit.ly/2CQYGN7 AWS Online Training: https://bit.ly/2ZnbW3s RPA Online Training: https://bit.ly/2Zd0ac0","['Education']","['yt:cc=on', 'machine learning in 2020', 'machine learning trends in 2020', 'top 10 ml trends in 2020', 'machine learning trend analysis', 'machine learning trends', 'ml trends', 'ml in medicare', 'ml in COVID-19 research', 'ml in iot', 'ml in AR', 'ml for business solutions', 'ml in predictive analysis', 'ml in conversational ai', 'ml in computer vision', 'ml in cybersecurity', 'ml in GANs', 'ml algorithms', 'machine learning tutorial', 'python edureka', 'machine learning edureka', 'Edureka']","2020-07-14",126,"http://www.youtube.com/channel/UCkw4JCwteGrDHIsyIIKo4tQ","https://i.ytimg.com/vi_webp/o81CjXX9Hpw/maxresdefault.webp?v=5f0f0cbe",1920,1080,,30,0.524
795,"watch?v=z-WSrQDXkuM","https://www.youtube.com/watch?v=z-WSrQDXkuM","JAX: Accelerated Machine Learning Research | SciPy 2020 | VanderPlas",0,"machine+learning",7,294,2,4.9864407,50400,"JAX is a system for high-performance ","['Science & Technology']","['python', 'Jax', 'Machine Learning']","2020-07-05",135,"http://www.youtube.com/channel/UCkhm72fuzkS9fYGlGpEmj7A","https://i.ytimg.com/vi/z-WSrQDXkuM/maxresdefault.jpg",1920,1080,,30,0.464
855,"watch?v=lHXcYhyhHGA","https://www.youtube.com/watch?v=lHXcYhyhHGA","Machine Learning with Synthetic Data | @Unity  + @TensorFlow",0,"machine+learning",15,501,5,4.9604745,49300,"In this augmented reality video we are going to train our own object detection ","['Science & Technology']","['machine learning', 'augmented reality', 'tensorflow', 'object detection', 'machine learning unity', 'unity ml agents', 'AI', 'AI unity']","2020-04-27",204,"http://www.youtube.com/channel/UClm2DY6pj3ygKoKhEVr7KFw","https://i.ytimg.com/vi_webp/lHXcYhyhHGA/maxresdefault.webp",1920,1080,,30,0.546
862,"watch?v=mEGYznC6F9s","https://www.youtube.com/watch?v=mEGYznC6F9s","K means clustering | Explained with Jupyter Notebook | Machine Learning Basics",0,"machine+learning",2,101,,5,5940,"MachineLearning","['Science & Technology']","['machinelearning', 'datascience', 'kmeans', 'k-means', 'python', 'machine learning basics', 'Jupyter Notebook', 'k-means clustering', 'machine learning', 'data science', 'k means', 'machine learning with python', 'k-means clustering algorithm', 'k-means clustering example', 'k-means clustering python', 'k-means clustering algorithm python', 'machine learning tutorial', 'machine learning course', 'data science tutorial']","2020-04-18",213,"http://www.youtube.com/channel/UCiuhuf2Xq0d05_4sHG0xmQA","https://i.ytimg.com/vi/mEGYznC6F9s/maxresdefault.jpg?v=5eade731",1920,1080,,30,0.513
875,"watch?v=OuPMVdski3E","https://www.youtube.com/watch?v=OuPMVdski3E","Machine Learning in Hindi | Machine Learning Tutorial in Hindi | Python for Machine Learning | 2020",0,"machine+learning",145,5047,58,4.9545546,275000,"Get the free certificate of completion for the ","['Education']","['Great Learning', 'Machine learning', 'Machine Learning Tutorial', 'Machine Learning Tutorial for Beginners', 'Machine Learning in Hindi', 'Machine Learning Tutorial in Hindi', 'Machine Learning Tutorial for Beginners in Hindi', 'Python for Machine Learning', 'Machine Learning Python', 'Machine Learning Python Hindi', 'Machine Learning with Python', 'Machine Learning Course', 'Machine Learning Full Course', 'Machine Learning Complete Course', 'Python Tutorial in Hindi', 'Machine Learning Hindi', 'python']","2020-04-16",215,"http://www.youtube.com/channel/UCObs0kLIrDjX2LLSybqNaEA","https://i.ytimg.com/vi/OuPMVdski3E/maxresdefault.jpg",1920,1080,,25,0.484
884,"watch?v=_lqAQxdBapI","https://www.youtube.com/watch?v=_lqAQxdBapI","Deep Learning Chatbot R&D",0,"machine+learning",42,1073,14,4.948482,977000,"Me toying around with the scored outputs of 20-something models, trying to figure out how to find the best answers. Neural ...","['Education']","['chatbot', 'python']","2020-03-31",231,"http://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ","https://i.ytimg.com/vi_webp/_lqAQxdBapI/maxresdefault.webp",1920,1080,,60,0.473
907,"watch?v=Yl8vbEcWxOc","https://www.youtube.com/watch?v=Yl8vbEcWxOc","Bias-Variance In Machine Learning | Bias Variance Trade Off | Machine Learning Training | Edureka",1,"machine+learning",12,223,32,4.4980392,2230000,"Machine Learning","['Education']","['yt:cc=on', 'bias and variance in machine learning', 'the bias in machine learning', 'variance in machine learning', 'bias-variance', 'bias-variance trade-off', 'total error', 'total error in machine learning', 'irreducible error in machine learning', 'how to reduce bias and variance', 'how to detect bias and variance', 'bias and variance python', 'difference between bias and variance machine learning', 'bias-variance tradeoff python', 'irreducible error bias and variance', 'bias', 'variance', 'python', 'edureka']","2020-01-15",307,"http://www.youtube.com/channel/UCkw4JCwteGrDHIsyIIKo4tQ","https://i.ytimg.com/vi_webp/Yl8vbEcWxOc/maxresdefault.webp",1920,1080,,30,0.514
908,"watch?v=UwwBG-MbniY","https://www.youtube.com/watch?v=UwwBG-MbniY","Daniel Kahneman: Thinking Fast and Slow, Deep Learning, and AI | Lex Fridman Podcast #65",0,"machine+learning",183,5242,96,4.9280629,755000,,"['Science & Technology']",,"2020-01-14",308,"http://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA","https://i.ytimg.com/vi_webp/UwwBG-MbniY/maxresdefault.webp",1920,1080,,30,0.462
925,"watch?v=ZWO5y-BS3Oc","https://www.youtube.com/watch?v=ZWO5y-BS3Oc","Putting AI and Machine Learning into Action in the Data Center with Jon Greaves | The QTS Experience",1,"machine+learning",342,2,,5,81,"Do you remember when a doorbell was, well just a doorbell? Now it's a logistics system, security guard, and NCIS all rolled into ...","['Entertainment']","['qts experience', 'podcast', 'technology', 'AI', 'artificial intelligence', 'machine learning', 'API', 'tech industry']","2019-12-12",341,"http://www.youtube.com/channel/UC2Zh-1wE8VHD3X8GLw7ZOUQ","https://i.ytimg.com/vi/ZWO5y-BS3Oc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCLoEacL4qIL0SvW852ugk33PB5VQ",1920,1080,,30,0.467
934,"watch?v=23Q7HciuVyM","https://www.youtube.com/watch?v=23Q7HciuVyM","Nazirini’s story - using machine learning to tackle crop disease",1,"machine+learning",28,787,22,4.8912239,2120000,"An incredible human story of the Ugandan developer, Nazirini Siraji, and the app created by her small team in Mbale, Uganda, ...","['Science & Technology']","['Nazirini’s story', 'Uganda', 'using machine learning to tackle crop disease', 'machine learning', 'ml', 'deep learning', 'machine learning models', 'TensorFlow', 'developers', 'developer stories', 'GDG', 'Google Developer Groups', 'protect crops', 'preserve crops', 'farmers', 'how to protect crops', 'how to stop crop disease', 'crop disease', 'stop crop disease', 'Fall Armyworm', 'Nazirini Siraji', 'Google Devs', 'Google Developers', 'Google', 'GDS: Yes;']","2019-11-13",370,"http://www.youtube.com/channel/UC_x5XG1OV2P6uZZ5FSM9Ttw","https://i.ytimg.com/vi_webp/23Q7HciuVyM/maxresdefault.webp",3840,2160,,24,0.534
938,"watch?v=X7GR4ANn45s","https://www.youtube.com/watch?v=X7GR4ANn45s","What is Azure Machine Learning service and how data scientists use it",0,"machine+learning",19,324,,5,199000,"An easier way for data scientists to build reproducible experiments with ","['Science & Technology']","['machine learning service', 'azure machine learning studio', 'microsoft machine learning', 'machine learning as a service', 'machine learning overview', 'azure machine learning services', 'what can you do with machine learning', 'what can machine learning be used for', 'machine learning models', 'machine learning model characteristics', 'machine learning modeling', 'best machine learning models for classification', 'machine learning tutorial', 'machine learning algorithms', 'machine learning techniques']","2019-10-28",386,"http://www.youtube.com/channel/UCJ9905MRHxwLZ2jeNQGIWxA","https://i.ytimg.com/vi_webp/X7GR4ANn45s/maxresdefault.webp",1920,1080,,30,0.513
943,"watch?v=ve-Tj7kUemg","https://www.youtube.com/watch?v=ve-Tj7kUemg","Deep Learning Full Course🔥 - Learn Deep Learning in 6 Hours | Deep Learning Tutorial | Simplilearn",0,"machine+learning",34,756,30,4.8473282,733000,"This ","['Education']","['deep learning full course', 'deep learning tutorial', 'deep learning tutorial for beginners', 'deep learning for beginners', 'tensorflow tutorial', 'tensorflow tutorial for beginners', 'tensorflow deep learning tutorial', 'deep learning complete tutorial', 'deep learning algorithms', 'deep learning applications', 'deep learning frameworks', 'deep learning training', 'deep learning', 'deep learning edureka', 'what is deep learning', 'deep learning with tensorflow', 'simplilearn deep learning', 'simplilearn']","2019-10-17",397,"http://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg","https://i.ytimg.com/vi_webp/ve-Tj7kUemg/maxresdefault.webp",1920,1080,,25,0.495
945,"watch?v=nIgIv4IfJ6s","https://www.youtube.com/watch?v=nIgIv4IfJ6s","Reinforcement Learning: Crash Course AI#9",1,"machine+learning",53,1503,30,4.9217219,11600000,"Reinforcement learning","['Education']","['John Green', 'Hank Green', 'vlogbrothers', 'Crash Course', 'crashcourse', 'education', 'machine learning', 'artificial intelligence', 'reinforcement learning', 'ai', 'credit assignment', 'reward', 'agent', 'exploration', 'exploitation', 'supervised learning', 'unsupervised learning']","2019-10-11",403,"http://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q","https://i.ytimg.com/vi_webp/nIgIv4IfJ6s/maxresdefault.webp",1920,1080,,24,0.475
954,"watch?v=X0DQjfW09kA","https://www.youtube.com/watch?v=X0DQjfW09kA","ML.NET - Machine Learning Introduction | ML.NET [1 of 8]",0,"machine+learning",24,265,15,4.7857141,78300,"Welcome to ","['Science & Technology']","['.NET', 'dot NET', 'dotNET Core', 'Getting Started with ML.NET', '.NET Core', '.NET Framework', 'dotNET developer', '.NET developers', 'dotNET Framework', 'ML.NET tutorial', 'machine learning tutorial', 'machine learning', 'Learn ML.NET', 'ML.NET Introduction', 'tutorial']","2019-09-23",421,"http://www.youtube.com/channel/UCvtT19MZW8dq5Wwfu6B0oxw","https://i.ytimg.com/vi_webp/X0DQjfW09kA/maxresdefault.webp",1920,1080,,30,0.482
955,"watch?v=BzcBsTou0C0","https://www.youtube.com/watch?v=BzcBsTou0C0","Introduction - Deep Learning and Neural Networks with Python and Pytorch p.1",0,"machine+learning",238,4760,73,4.9395819,977000,"Hello and welcome to a ","['Education']","['pytorch', 'python', 'tutorial', 'deep learning', 'neural network']","2019-09-23",421,"http://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ","https://i.ytimg.com/vi_webp/BzcBsTou0C0/maxresdefault.webp",1920,1080,,60,0.549
957,"watch?v=6Kska20zQO4","https://www.youtube.com/watch?v=6Kska20zQO4","BigQuery ML: Machine Learning with Standard SQL",0,"machine+learning",15,444,2,4.9910111,626000,"In this episode of AI Adventures, Yufeng introduces BigQuery ML, which allows you to build ","['Science & Technology']","['Bigquery ml', 'machine learning with standard sql', 'how to use machine learning', 'what is machine learning', 'learn machine learning', 'tensorflow', 'Big Data', 'Artificial intelligence', 'AI', 'ML', 'gcp machine learning', 'cloud and machine learning', 'Deep Learning', 'machine learning models', 'training', 'classification', 'data science', 'bigquery', 'BQML', 'SQL', 'linear regression', 'notebooks', 'ai adventures', 'Cloud', 'GCP', 'Google Cloud Platform', 'yufeng guo', 'machine learning', 'GDS: Yes;']","2019-09-20",424,"http://www.youtube.com/channel/UCJS9pqu9BzkAMNTmzNMNhvg","https://i.ytimg.com/vi_webp/6Kska20zQO4/maxresdefault.webp",1920,1080,,25,0.518
962,"watch?v=Bo8MY4JpiXE","https://www.youtube.com/watch?v=Bo8MY4JpiXE","François Chollet: Keras, Deep Learning, and the Progress of AI | Lex Fridman Podcast #38",0,"machine+learning",102,2800,57,4.9201961,755000,,"['Science & Technology']",,"2019-09-14",430,"http://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA","https://i.ytimg.com/vi_webp/Bo8MY4JpiXE/maxresdefault.webp",1920,1080,,30,0.542
964,"watch?v=Bi7f1JSSlh8","https://www.youtube.com/watch?v=Bi7f1JSSlh8","Most Research in Deep Learning is a Total Waste of Time - Jeremy Howard | AI Podcast Clips",0,"machine+learning",180,5404,195,4.8606896,755000,"This is a clip from a conversation with Jeremy Howard on the Artificial Intelligence podcast. You can watch the full conversation ...","['Science & Technology']","['fastai', 'deep learning', 'machine learning', 'computer vision', 'academia', 'arxiv', 'publishing', 'transfer learning', 'research', 'active learning', 'jeremy howard', 'artificial intelligence', 'ai', 'ai podcast', 'artificial intelligence podcast', 'lex clips', 'lex fridman', 'lex podcast', 'lex mit', 'lex ai', 'mit ai', 'ai podcast clips', 'ai clips']","2019-09-10",434,"http://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA","https://i.ytimg.com/vi_webp/Bi7f1JSSlh8/maxresdefault.webp",1920,1080,,30,0.535
966,"watch?v=MIEA8azwu1k","https://www.youtube.com/watch?v=MIEA8azwu1k","DEEP LEARNING MEME REVIEW - Episode 1",0,"machine+learning",22,623,12,4.9244094,54200,"The wait is finally over! Antonio and I discuss the best, funniest and dankest memes of the ","['Comedy']","['deep learning', 'memes', 'meme review', 'artificial intelligence', 'review', 'discussion', 'reaction', 'ai', 'machine learning', 'ml', 'dnn', 'gpu', 'deep neural network', 'ml memes', 'deep learning memes', 'machine learning memes', 'funny', 'gpus', 'classifier', 'hinton', 'turing award', 'bert', 'xlnet', 'optimization', 'error rate', 'culture', 'community', 'research']","2019-09-05",439,"http://www.youtube.com/channel/UCZHmQk67mSJgfCCTn7xBfew","https://i.ytimg.com/vi_webp/MIEA8azwu1k/maxresdefault.webp",1280,720,,30,0.537
968,"watch?v=SGSOCuByo24","https://www.youtube.com/watch?v=SGSOCuByo24","Yann LeCun: Deep Learning, ConvNets, and Self-Supervised Learning | Lex Fridman Podcast #36",1,"machine+learning",99,3061,56,4.9281359,755000,,"['Science & Technology']",,"2019-08-31",444,"http://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA","https://i.ytimg.com/vi_webp/SGSOCuByo24/maxresdefault.webp",1920,1080,,30,0.451
970,"watch?v=9f-GarcDY58","https://www.youtube.com/watch?v=9f-GarcDY58","Machine Learning Full Course | Learn Machine Learning | Machine Learning Tutorial | Simplilearn",0,"machine+learning",513,11664,162,4.9452057,733000,"This complete ","['Education']","['machine learning course', 'machine learning concepts', 'machine learning tutorial', 'complete machine learning course', 'complete machine learning project', 'machine learning', 'machine learning algorithms', 'supervised and unsupervised learning', 'linear regression machine learning', 'k- means clustering algorithm', 'logistic regression machine learning', 'what is machine learning', 'what is machine learning and how does it work', 'machine learning simplilearn', 'simplilearn', 'machine learning with python']","2019-08-29",446,"http://www.youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg","https://i.ytimg.com/vi_webp/9f-GarcDY58/maxresdefault.webp",1920,1080,,25,0.534
979,"watch?v=v0uVu5__JGg","https://www.youtube.com/watch?v=v0uVu5__JGg","Top Machine Learning Tools and Frameworks for Beginners | Machine Learning Tutorial | Edureka",0,"machine+learning",22,561,13,4.9094076,2230000,"Machine Learning","['Education']","['yt:cc=on', 'machine learning', 'machine learning tools', 'ml-tools', 'Machine learning frameworks', 'TensorFlow', 'Big Data', 'Cloud', 'Artificial intelligence', 'AI', 'ML', 'Prediction', 'Data Preprocessing', 'big data processing', 'Ai adventures', 'google cloud platform', 'google cloud', 'ML tools', 'edureka', 'machine learning tools list', 'machine learning tools for non programmers', 'machine learning tools for beginners', 'machine learning edureka']","2019-08-07",468,"http://www.youtube.com/channel/UCkw4JCwteGrDHIsyIIKo4tQ","https://i.ytimg.com/vi_webp/v0uVu5__JGg/maxresdefault.webp",1920,1080,,30,0.45
981,"watch?v=oLTNtvIHJ7M","https://www.youtube.com/watch?v=oLTNtvIHJ7M","Crowdsource by Google: Building better products for everyone with machine learning",0,"machine+learning",125,1606,110,4.7435899,9520000,"When you use Crowdsource by Google, you improve products like Translate, Maps, Photos, Assistant, etc for your language, ...","['Science & Technology']","['Crowdsource', 'Machine learning', 'Community', 'User contributions', 'ML fairness', 'Diversity']","2019-08-06",469,"http://www.youtube.com/channel/UCK8sQmJBp8GCxrOtXWBpyEA","https://i.ytimg.com/vi_webp/oLTNtvIHJ7M/maxresdefault.webp",1920,1080,,25,0.469
983,"watch?v=-NJ9frfAWRo","https://www.youtube.com/watch?v=-NJ9frfAWRo","A.I. Learns to play Snake using Deep Q Learning",1,"machine+learning",2,129279,2125,4.9353142,2370000,"Can an AI learn to play the perfect game of Snake? Huge thanks to Brilliant.org for supporting this channel, check them out: ...","['Education']","['artificial', 'intelligence', 'coding', 'processing', 'java', 'machine', 'learning', 'genetic', 'algorithm', 'evolution', 'computer', 'science', 'programming', 'comedy', 'educational', 'snake', 'game', 'reinforcement learning', 'RL', 'Qlearning', 'ai', 'computer science', 'game design', 'deep learning']","2019-07-12",494,"http://www.youtube.com/channel/UC0e3QhIYukixgh5VVpKHH9Q","https://i.ytimg.com/vi_webp/-NJ9frfAWRo/maxresdefault.webp",1920,1080,,25,0.463
984,"watch?v=DNegkxwQJuY","https://www.youtube.com/watch?v=DNegkxwQJuY","Seu primeiro código de Machine Learning com Python!",0,"machine+learning",41,2398,30,4.9505768,32700,"Resumo e organização dessa aula: 0:06 Objetivo da aula 0:38 Instalação do Python 3 1:00 Quais dados iremos utilizar 3:26 ","['Science & Technology']","['algoritmo machine learning', 'aprender machine learning python']","2019-07-08",498,"http://www.youtube.com/channel/UC0BiVs5EYh57gzGVvhddjsA","https://i.ytimg.com/vi_webp/DNegkxwQJuY/maxresdefault.webp",1920,1080,,25,0.463
